,,Sequence Summaries,Sequence Summaries,Sequence Summaries,Sequence Styles,Sequence Styles,Sequence Styles
pos,team,sequence time,passes per sequence,direct speed,10+ pass OP sequences,build up attacks,direct attacks
1,Manchester City,15.21,5.39,1.12,889.0,220.0,67.0
2,Manchester United,11.12,4.14,1.47,562.0,125.0,61.0
3,Liverpool,11.46,4.44,1.39,686.0,155.0,72.0
4,Chelsea,12.37,4.83,1.26,778.0,187.0,59.0
5,Leicester City,9.81,3.75,1.43,507.0,94.0,57.0
6,West Ham United,8.2,3.09,1.68,298.0,42.0,61.0
7,Tottenham Hotspur,9.81,3.73,1.41,490.0,99.0,68.0
8,Arsenal,11.85,4.34,1.18,573.0,126.0,63.0
9,Leeds United,9.33,3.46,1.61,344.0,72.0,74.0
10,Everton,9.73,3.56,1.39,406.0,64.0,51.0
11,Aston Villa,8.29,3.02,1.6,259.0,61.0,95.0
12,Newcastle United,7.32,2.78,1.5,210.0,33.0,57.0
13,Wolverhampton Wanderers,9.67,3.57,1.4,418.0,73.0,60.0
14,Crystal Palace,7.28,2.81,1.66,214.0,35.0,42.0
15,Southampton,8.63,3.32,1.28,383.0,77.0,34.0
16,Brighton and Hove Albion,10.04,3.6,1.21,426.0,94.0,47.0
17,Burnley,6.53,2.68,1.42,155.0,24.0,31.0
18,Fulham,8.97,3.39,1.39,390.0,60.0,58.0
19,West Bromwich Albion,6.45,2.48,1.46,130.0,18.0,37.0
20,Sheffield United,8.35,3.14,1.31,262.0,64.0,39.0
